Model,Store,Item,MAE,RMSE,MAPE (%),sMAPE (%),Coverage (%),Avg Interval Width,Train Time (s),Notes
Prophet (Default Baseline),1,1,3.718130999879978,4.500073282842453,22.817351775749916,19.583889676431024,97.77777777777777,17.321847311437832,0.83,"Additive, default priors"
Prophet (Tuned),1,1,3.7087153623878093,4.476454882129651,21.871419482014133,19.64403068503376,94.44444444444444,17.138707780643255,5.41,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'seasonality_mode': 'multiplicative', 'changepoint_range': 0.8}"
"SARIMA (1,1,1)x(1,1,1,7)",1,1,4.494381507365904,5.386144249772914,29.229662276719726,23.227640488973105,98.88888888888889,24.357231040735833,3.06,Weekly seasonal state-space
XGBoost,1,1,4.921100616455078,6.073919666929378,10.46819680521272,10.422007081583711,0.0,0.0,2.78,"Lag/rolling/calendar features, XGBRegressor"
