Model,Store,Item,MAE,RMSE,MAPE (%),sMAPE (%),Coverage (%),Avg Interval Width,Train Time (s),Notes
Prophet,1,1,5.251241692239698,6.806122358248053,11.642062693229596,10.724014437029206,0.0,0.0,1.51,"Additive, default priors"
XGBoost,1,1,4.921100616455078,6.073919666929378,10.46819680521272,10.422007081583711,0.0,0.0,2.78,"Lag/rolling/calendar features, XGBRegressor"
